asin,date,rating,size,width,color,text,title
B00ES82H6K,"February 18, 2015",5,12,D(M), White/Black/Royal,"Great shoe. Both this and the Cumulus are the most comfortable shoes I've ever worn. They're made with good material and fit perfectly for my feet. As an almost 200 pound guy who runs about 20 miles a week, these shoes do it for me.I'm mostly writing to say that I wear a size 11.5 in most shoes but had to get a 12 with this. I also had to get 4E instead of my normal 2E. I usually get Asics' Cumulus, and with the Cumulus 15, I wore a 11.5.Update: I ran about 350 miles in these over the course of a year, and they held up as well as you can expect. I was a little worried about the soft rubber on the bottoms, but they didn't seem to wear out any faster than other shoes.","Ran a little small for me, but otherwise great!"
B00ES82H6K,"October 30, 2015",5,11,D(M), White/Black/Royal,"This is my second pair of ASiCS Gel-Nimbus. I do not think I will buy another type of shoe again. I am unique and have an extremely high arch, which causes my feet to roll to the outside. Almost all running shoes are made with the flat footed in mind and have cushion to roll your feet to the outside. Therefore, almost all running shoes make my foot roll extremely to the outside, which causes me to have severe foot, shin, and knee pain.I love this shoe because it was made with the rare people like me in mind. I know the company probably sells less of these shoes because there are less people with issues like mine, but they do not raise the price. I wear these shoes from the time I get up to the time I lay down. No special inserts required.",Fixes My Foot Shin and Knee Pain
B00ES82H6K,"March 18, 2015",5,10,D(M), White/Black/Royal,"Beautiful shoes. I wear Asics daily and have bought the $50 ones in the past. Those shoes are discontinued so I chose these for the colors and hoped that the gel would be cushioning. I have just received these shoes today and have been wearing them around the house to break in. The length of the shoe is true to size but the shoe is very tight. I really loosened the laces and it feels somewhat better. although the size that I ordered is the identical size to the previous 3 pairs of Asics that I absolutely wore out, I suspect that either these shoes are a little narrow or they just need to be broken in more. The padding on the bottom may need time to mold better to my foot or compress. Maybe that will give me more room but right now they are too tight particularly on the top of my feet. If I had it over I'd buy a slightly wider size but I'm optimistic that these will break in. Recommend","Beautiful Shoes, maybe a tad more narrow than expected"
B00ES82H6K,"July 23, 2015",4,8,4E, White/Black/Royal,"Love my Asics Men's Gel Nimbus shoes.  I wear orthotics with a good arch support from Playmakers as I need them for Plantar Fascitis.  The gel provides lots of cushioning and it is helping my foot heal after pain in my heel.  I needed to buy two new pairs of Asics as I wore my previous Asics Gel 15 Nimbus shoes out after wearing them almost 1 1/2 years.  It's like stepping out on clouds now,  love the cushioning!  I buy men's shoes because they have a wider shoe box.  Women's ASICS are too narrow and uncomfortable in the shoe box especially if you need orthotics.",Love my Asics Men's Gel Nimbus shoes
B00ES82H6K,"November 15, 2015",5,12,D(M), Titanium/Black/Red,"At 47, I don't mess around with my running shoes. I want the padding to save my knees and joints.  I used to have some real issues with foot and knee pain before I started getting good shoes. These are among the best. You can feel the padding right away when you put them on.  I have not experienced a shoe with more cushion in all the write places. I run 2x a week, 4 miles at a time. All year long.  Good quality.  I expect them to last a year before I replace them.  Note: You should change your shoes according to the miles and use you get out of them.  There are recommendations on the Internet. I should be changing mine more frequently, but I find these do the job for a year and I don't suffer for it.",Great shoe for running that protects your feet and knees
B00ES82H6K,"April 21, 2015",5,11.5,D(M), Chinese Red / Black / Flash Green,"There Asics, a little expensive, but you get what you pay for. I struggled for years trying to find a pair of shoes that suited me. I always wanted to try Asics, but wouldn't pay the price. My wife talked me into it a few years ago, and I have been hooked ever since. I am 42 years old and a little on the heavy side, so I am by no means a runner, but I am pretty active and I try to walk daily. I am so glad my wife talked me into spending a little more money, like she told me, you buy all of these other brands and pay almost as much for them, and are never completely satisfied. I fell in love with my first pair and soon found out that in the long run Asics will actually save you money, because they last longer than the other brands. This is my 5th pair, and I will never wear anything but Asics.",Five Stars
B00ES82H6K,"June 3, 2015",5,9,D(M), White/Black/Royal,This is by far the best pair of running shoes I have ever owned. I am not the type of runner who is serious enough about it to go to a proper running shoe store. I underpronate a little and the shoes help to correct that. They also have great cushioning and rebound. I can definitely tell a difference between these and lesser quality shoes.,This is by far the best pair of running shoes I have ever owned
B00ES82H6K,"April 3, 2015",5,8.5,D(M), White/Black/Royal,"I had purchased several pairs of these as gifts for others and I thought I would try them out for myself this time. Although they cost a little more than I am used to shelling out for my runners (I change them every 4 months) they seem to be worth it!  I have had them for less than a week and I have already run 25 km in them. They don't pinch, torque and have ample cushioning for my stride.  I see now, why others would ask for these as their birthday and/or Christmas gifts!I usually find that women's runners are just not as comfortable as men's running shoes and that a ladies 9 or a men's 8.5 fit perfectly and allow for foot swelling in the intense Texas heat. I have always been an Adidas fan (which is about 30 years), but this shoe is making a very strong case for defection!",A whole new running experience.
B00ES82H6K,"May 19, 2015",5,14,D(M), White/Black/Royal,"The shoe is very comfortable.  I wear them primarily as a casual shoe, as opposed to using them for running.  They fit great right out of the box and I have used them almost daily. I have walked around Philly on weekend afternoons and had no issues with any type of discomfort.  I really like them and they suit my purposes very well.I didn't comment on the width of the shoe because my width is below medium. I am a size 14 and its almost impossible to find a ""narrow"".  That being said, this shoe fit my width almost perfectly, which means if you are a medium it may (but does not guarantee) run a bit small as far as width.  Also, I didn't comment on the arch support because I deal with plantar fasciitis and I swap the inserts out for orthotics.",Very Comfortable
B00ES82H6K,"July 5, 2015",5,12.5,4E, Titanium/Black/Red,"ASICS makes an excellent quality shoe and they have models that are good for supination, but they run tight, especially the toe box. I normally wear an 11 or 11.5 D in a regular shoe but it this case I had to go to a 12.5 4E to make room for my little toe.. The result is a shoe that is comfortable and perhaps a bit too big in the shoe box, but it works well for walking and hiking. I haven't run in them yet.The Amazon price was excellent, much better than the price in local stores, which often don't carry a wide range of models or extra wide shoes). I still wonder whether it would have been better to go to a store that specializes in running and walking shoes to get the best fitting shoes.  So far I am very happy with them.",Excellent shoe but try them on for size before purchasing.
B00ES82H6K,"August 28, 2015",5,12,4E, White/Black/Royal,"I have a number of Asics and New Balance shoes, but this is the first Nimbus I've ever tried (been a fan of the Cumulus from Asics). This is like walking on cloud so far (only had them for a few days, but I've been wearing them all day and done some running). While I generally am told I should go with a motion control type shoe I just can't say no to cushion so definitely happy. This and the NB 1260v5 I bought recently are easily my favorite shoes, but right now I'd say the Nimbus comfort tops it.",The best cushion by far...
B00ES82H6K,"June 8, 2015",5,10,D(M), White/Black/Royal,"I'm not a runner, knees forbid that now, so walking is what I do. After reading many articles determining what type of shoe I needed I compared a number of shoes suggested as the best in that category. Trying to balance cost versus performance I opted for these, so far have no reason to doubt my judgement. They fit well and feel good when walking.",Really Nice Shoes For The Money!
B00ES82H6K,"March 19, 2015",4,12.5,2E, White/Black/Royal,"I've only used it at the gym a few times, so that's a bit of a caveat there.Having said that, this is by far the cushiest trainers I've ever had. The last time I wore a pair of Asics was nearly 30 years ago, and I can see that they've made progress.I have (very) flat feet and I believe I have a neutral gait (as in no over-pronation or supination). This shoe is another in a line of shoes I've been trying to find to fit me. My previous pair of trainers was the Brooks Beast. A control shoe that made me feel quite uncomfortable, and aggravated my peroneal tendonitis.This Nimbus seems to not do that ... though, again, I've only used it all of 3 times. But am optimistic.I bought a US12.5 2E. Fits well.",Very cushy.
B00ES82H6K,"February 3, 2015",5,10.5,D(M), White/Black/Royal,"This is my wife's account, I'm a male writing about the Asics Nimbus 16 that I just received. I run about an average of 5-10 miles per week. Concrete running, mostly dry.These shoes are AMAZING!! I had the Numbus 13 and I just wore them out. I bought a pair of Brooks Ravenna 5 and returned them the very next morning. I tried Brooks because I have a wide foot and I heard the the toe box on Brooks is a bit more roomy. The Brooks felt thin and left me uninspired. I say this because every time I wear my Asics, I want to go and run die to the comfort and fit.I got the 2E width and they are perfect. I used to get a hotspot with the regular D width. People say that they're heavy- I don't agree. If you run on concrete, get these now.",A runner's shoe
B00ES82H6K,"October 7, 2015",4,14,2E, White/Black/Royal,"Asics had been my go to until the last year when I switched to the Brooks Pure Project and I really like the way they feel and fit.  The one drawback on my current pair of Pure Connect is the beating my feet take on long runs.  I decided to go back to Asics and Nimbus has been a good choice so far.  Ran a dozen last weekend without any of the standard aches and with 30 miles in these have been a quality change up from the lighter Brooks shoe.  The last pair of Asics I ran in were from the Cumulus line and the Nimbus seems to be a little bulkier at this point, but that simply could be the transition from the Brooks.",Solid long run trainer
B00ES82H6K,"April 25, 2015",5,10.5,2E, White/Black/Royal,"Nominal shoe size: 14D. Ordered 14EE.After reading multiple reviews about these shoes being too narrow, I decided to try the EE width. In this endeavor, I learned that running shoe widths increment by double letters only---a boot width of E is equivalent to a running shoe width of EE for some reason.Even with the wider shoe, I can still feel it rubbing my two smallest toes, so I caution you that these shoes do run narrow. Nonetheless, this mild rubbing is not painful and is getting better as the shoe break in. Overall, I am very happy (4.5 stars). Their comfortable sole and light wight have made my running more enjoyable than ever. I'm glad I decided to try ASICS.",Buy the wider ones and you'll be happy
B00ES82H6K,"April 13, 2015",5,11.5,D(M), Titanium/Black/Red,"Very comfortable running shoes, with good quality.  I have wide feet, so I normally wear a 10.5 wide or an 11 regular width.  One of the reasons I ordered these is because I was surprised to see that I could get running shoes in a wide size online.  I will say that I was kind of surprised that the 10.5 wide seems to be the exact size of my foot, just touching on the edges all the way around.  I haven't really decided if I think that's too small, I guess I'm just not used to shoes that don't have extra room.",Very comfortable running shoes
B00ES82H6K,"January 22, 2015",5,10,2E, White/Black/Royal,"First pair of ASICS I have owned, and I am proud that I do. I am not a small man, at 260+ right now. These shoes are light and airy, easy to forget you are wearing them. The cushioning is like an air-ride suspension, you feel no impact or shock.I plan on purchasing more of these in the future. A little side note. I can wear either a size 11 or a size 11 1/2 in these; the 11 would have been my choice were I actually running a lot, as they fit and grip. Instead, I chose the 11 1/2, to give my feet a little extra room to be comfortable, as I use them primarily for my everyday knock around shoes. Very comfortable. If you are considering these even just a little, stop stressing and order them! You will Thank yourself later!","First ever pair of ASICS, but not my last!"
B00ES82H6K,"March 3, 2017",4,12,D(M), White/Black/Royal,Quality shoe with ample cushioning.  Holds up well.  I run about 20 miles per week and these will last me 3 - 4 months.  Can stretch the wear a bit more by replacing insoles.,Quality shoe with ample cushioning. Holds up well. ...
B00ES82H6K,"May 1, 2015",5,9.5,D(M), White/Black/Royal,"This is only my 2nd pair of Asics.  I am normally a Nike guy, but my first pair were a great deal.I have started walking/jogging and the old shoes (2+ yrs old) just weren't cutting it anymore.The first adventure out, I did 4 mikes with more aching.Next day, I did 5 miles in the morning and 3 miles in the evening.  Feet felt great and shin splints we're going away.Been using them for about a week now, and perfectly broken in.  Wore them to a baseball game last night entertaining clients (on my feet for 5 hrs) and no issue.Highly recommend them and I will be buying another pair sooner than later with my dramatic increase in activity.",Perfect for road walker/jogger
B00ES82H6K,"April 16, 2015",5,13,D(M), Black / Onyx / Orange,"These shoes are wonderful !!  i have never owned a pair of Asics, and I am kicking myself for wearing New Balance shoes for so many years !  These shoes have extra gel in the insole, as compared to the Gel Cumulus 16.  The tongue is a tad longer which I like.  I use custom orthotics in my shoes and they fit perfectly in both shoes.  I noticed a difference as soon as I had them on my feet. The mesh upper provides excellent circulation to help keep the feet cool.  I am a convert and will keep buying Asics from now on !  If you are considering the Cumulus, buy this one instead because you get so much more for an extra $10.00. Order 1/2 size larger than your normal shoe size.",Like walking on clouds !!
B00ES82H6K,"April 12, 2015",5,9,D(M), White/Black/Royal,"I was looking for shoes that I could wear around town, at work in a casual environment, and out for everyday use. I've been a Nike guy for a very long time but wanted to give these a try. They have a ton of support and feel great on my feet, even after a long day. I don't run very much but do a lot of walking and these hold up very well. I really like the gel inserts that come with the shoes. I put them on and they felt natural, almost like I had been running around in them for a few weeks.If you are on the fence about getting some shoes for everyday use and are looking at this, go ahead and get them. I certainly am glad I did.",Great ride for everyday use.
B00ES82H6K,"March 9, 2015",5,8.5,D(M), Black / Onyx / Orange,"In my first couple of runs, I felt a significant difference in the 16 over the 15! It feels like there's more structural support yet more cushiony than the 15. Right after getting the 15's, I developed pain in the back part of my upper leg under my butt - which acts like a sciatic nerve pinch. Not sure if it is that, but the 16's seem to be far more comforting to my issue.Also, the last 2 pairs of 15's completely deteriorated behind my Achilles heel area. Stuffing starting coming out towards the end of the shoe life, but never really felt like it affected the shoe's core performance.I love the 16's so far!!",Improvement over the 15!
B00ES82H6K,"September 27, 2015",5,9,D(M), White/Black/Royal,"Very much am a fan of this shoe.I had an ACL/Meniscus procedure on one of my knees and these sneakers feel very comfortable. Use them for long jogs or just casual walking. The soles were far more comfortable than expected. Anytime I have to go out I wear these, don't even care if they always match or not.I read a complaint of the shoes causing a blister. This happened to me ONCE because I wore loose fitting/baggy socks. Wear socks that fit snug and won't slide. Any blisters are because of the sock not because of the sneaker.",Pleasantly surprised
B00ES82H6K,"July 3, 2015",5,11.5,D(M), White/Black/Royal,"I either buy these or the Gel-Cumulus. Nimbus seem like they have a tiny better fit, but they cost more too. My size is 11 1/2 medium width. I weigh 160 and run about 25 miles/week on concrete bike paths. I like the cushion especially followed by the durability. (They figured out how to make the heels from material that lasts longer.) I've got several ""retired"" pair in my closet that I still wear for casual times. In the past, I've purchased New Balance and Saucony shoes of comparable quality when they were on sale and they were ok. I always have come back to Asics though.",really good running shoe
B00ES82H6K,"February 7, 2015",5,11,D(M), Island Blue / Lightning / Lime,"The Asics Gel-Nimbus series of running shoes are absolutely the best I've ever worn. I have arthritis in my knees and play table tennis 4-8 hours per day; without these, maybe 2 hrs. is all I can take. The all-around support and cushioning is superb and a godsend for me. Prior to taking up table tennis seriously, I played volleyball for 12 years and was already familiar with the Asics brand, but thought I could get away with a cheaper shoe for table tennis; you basically get what you pay for and this is worth its weight in gold. By the way, this is my 4th pair in recent weeks; yes, I'm impressed with the quality.",... Asics Gel-Nimbus series of running shoes are absolutely the best I've ever worn
B00ES82H6K,"April 12, 2015",5,10,D(M), Titanium/Black/Red,"This is the 3rd pair of ASICS Gel-Nimbus I have owned in the last 3 years.  I just buy the new model each year.  They arrived very quickly and fit just as I expected.  Ran 2miles the day after I got them and then ran a 10K the day after that.  No problems with the shoes at all.  I am not a ""small"" frame person.  I am 47 year old male that is 6' and 245lbs.  These shoes work very well for me and give all the support and comfort I need.  Several of my ""large frame"" friends joke and call them ""fat boy running shoes""...its funny because its true.  Love these shoes!!!",Fat Boy Running Shoes :-)
B00ES82H6K,"June 4, 2015",5,11,2E, White/Black/Royal,"I purchased these shoes after researching the best foot wear to help my plantar fasciitis condition. At the price I paid from Amazon, these were 70 dollars less than my local sporting good store.These shoes literally made my heel pain go down by half the first day of wearing them. By day five, I have very little pain at all. I could not be happier than I am with these shoes. I will never buy crappy shoes again. Asics from now on for me!They are well made, extremely supportive, and lightweight. Give these shoes a shot if you have foot pain.","If you have plantar fasciitis, read this review!"
B00ES82H6K,"May 12, 2015",5,10.5,D(M), White/Black/Royal,"I have been wearing the Nimbus series as my primary running shoes since the 12s. And while the 13s were hands down the most comfortable shoe ever, the 16s do a good job ranking in towards the top of their series. I run shorter distances 4-6 miles a day, and these shoes are perfect for that. I do a mix of road and trail (single track) runs and the traction has never been an issue. The weight is a bit high, but I only train in these. I do races in other shoes. Reviews are tricky with running shoes though, I guess you can take away these shoes are not 'terrible' ...for me.",Another good year for the Nimbus
B00ES82H6K,"March 1, 2015",5,10.5,4E, White/Black/Royal,"I love these shoes, but hate the color choices as many others have also said. Suggest trying on some Asics at a store just to get the fit correct before ordering.  I tried on several GT 1000 and 2000 styles in different lengths and widths until I got it right and wound up ordering a 10.5 4E.  I normally wear a 9 W in my casual and dress shoes if that tells anything about variance among shoe styles and manufacturers.  To be honest, the shoes do loosen up a bit and I probably could have lived with a 10 4E, but I like my shoes roomy. I think a serious runner (not me) would want it a bit more snug.",Like running on a cloud
B00ES82H6K,"June 23, 2016",4,13,4E, Titanium/Black/Red,I use these shoes mostly for walking because I have a bad left food bunion which doesn't allow me to run for long.  I have wide feet and a bunion on the left foot(big toe).  There is webbing right where my bunion is so it allows for the shoes to be worn comfortably.  I purchased the 13 4E and they seem to run a bit narrow in the mid-foot.  They are well constructed shoes which have held up well with a lot of use.,... these shoes mostly for walking because I have a bad left food bunion which doesn't allow me to run ...
B00ES82H6K,"October 26, 2016",5,8,D(M), Island Blue / Lightning / Lime,This is my second pair of exact the same shoesFirst one was good for the year of traineeFits perfect!,... pair of exact the same shoes First one was good for the year of trainee Fits perfect
B00ES82H6K,"April 29, 2015",5,10.5,D(M), Island Blue / Lightning / Lime,"By far, the best running shoe for me.  The Gel Nimbus 16 has been replaced by the Gel Nimbus 17, which sadly is a whole new shoe.  The 17 has an all new design and a HUGE toebox.  After a few runs I returned the 17's and started looking around for the last remaining 16's.  I found and ordered two pairs.  It's a great shoe for me and I've been through every iteration of the Gel Nimbus line since the 11's.  I'm going to miss this shoe dearly and they will be the last time I buy the Gel Nimbus line since Asics ruined the shoe with the design of the 17.",Excellent running shoe which has unfortunately been replaced by a newer and inferior design.
B00ES82H6K,"April 12, 2015",5,10.5,D(M), White/Black/Royal,"This was actually a gift for my husband, and he loves them.  He recently took up running so I wanted to get him a nice quality pair of running shoes. At the same time I had to keep in mind that he does not like bright nauseating colors. After a pretty lengthy search these seem to fit his criteria of what would be the perfect sneaker. He pulled them out of the box his smile meant I had picked a winner. He went from running 2 miles to a little over 3 the first week. He says the fit is good, the feel is good, and he loves the breath ability of the shoe.",Very good running shoes
B00ES82H6K,"August 3, 2015",4,9.5,D(M), White/Black/Royal,"I had to send the shoes back and get a 1/2 size smaller before it was right.  Once I got the right size, these shoes ROCK!  I am very satisfied with the design of these shoes and the overall sense of durability.  Right out of the box they seemed a better investment than the Brooks Adrenaline which I previously owned.  I used to be a loyal brooks fan, but the last two pairs of adrenalines I purchased wore out entirely too fast.  My hopes are high for these ASICS so far, and I look forward to their continual use.","Too big to start, just right after exchange."
B00ES82H6K,"September 1, 2015",4,11.5,4E, White/Black/Royal,"I have worn quite a few pairs of Gel-Nimbus.  These are the first that have given my any problems.  The toe box seemed a bit narrower than usual and they didn't seem to have the same cushion as I am used to.  I marked them as not  having a good arch support because they are neutral cushion shoes.  They are holding up as well as previous pairs but I am a little underwhelmed.  These are the first pair I've bought without going to a running shoe store, so I don't know if that makes a difference.",Not as good as previous year models.
